Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Netherlands,Status
solitaire-engagement-ring-round-diamond,Solitaire Engagement Ring – Round Diamond,Timeless elegance with a brilliant round diamond in your choice of 18K gold.,Diamonds by Caroline Scheltjens,Engagement Rings,Engagement Rings,"Engagement Rings, Solitaire, Round, Lab-Grown Diamond, Natural Diamond",TRUE,Metal Color,White Gold,Diamond Type,Lab-Grown 0.50ct DVS2,,,solitaire-engagement-ring-round-diamond-white-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,Solitaire Engagement Ring – Round Diamond | Diamonds by Caroline Scheltjens,Timeless elegance with a brilliant round diamond in your choice of 18K gold.,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,White Gold,,Lab-Grown 1.00ct DVS2,,,solitaire-engagement-ring-round-diamond-white-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,White Gold,,Lab-Grown 1.50ct DVS2,,,solitaire-engagement-ring-round-diamond-white-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,White Gold,,Natural Diamond,,,solitaire-engagement-ring-round-diamond-white-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,solitaire-engagement-ring-round-diamond-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 1.00ct DVS2,,,solitaire-engagement-ring-round-diamond-yellow-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 1.50ct DVS2,,,solitaire-engagement-ring-round-diamond-yellow-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Yellow Gold,,Natural Diamond,,,solitaire-engagement-ring-round-diamond-yellow-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Rose Gold,,Lab-Grown 0.50ct DVS2,,,solitaire-engagement-ring-round-diamond-rose-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-round-diamond,,,,,,,,,Rose Gold,,Lab-Grown 1.00ct DVS2,,,solitaire-engagement-ring-round-diamond-rose-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
