Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct,"<p>Experience true luxury with this magnificent 1.50 carat solitaire engagement ring. This show-stopping piece features an exceptional lab-grown diamond (D color, VS2 clarity) that commands attention while maintaining the elegance of classic design.<br><br>Set in premium 18K gold, the substantial 1.50 carat round-cut diamond delivers unparalleled brilliance and fire. This is the ultimate symbol of love - impressive in size, flawless in quality, and perfect in its simplicity. Handcrafted by master jewelers in Antwerp.<br><br>Features:<br>• Center Stone: 1.50 carat IGI/GIA/HRD-certified lab-grown diamond (D–VS2)<br>• Metal: 18K Gold (available in White, Yellow, or Rose Gold)<br>• Setting: Classic solitaire with secure 4-prong setting<br>• Band Style: Comfort-fit, 1.8-2.0mm width<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br>• Warranty: Lifetime craftsmanship guarantee<br><br>Why You'll Love It:<br>✓ Spectacular 1.50 carat center stone with commanding presence<br>✓ Ethically sourced lab-grown diamond<br>✓ Exceptional D color grade - the pinnacle of colorless beauty<br>✓ VS2 clarity - flawless to the naked eye<br>✓ Timeless solitaire design enhanced by impressive size<br>✓ Handcrafted in Antwerp by master artisans<br>✓ Complimentary first-time resizing<br>✓ Includes luxurious presentation box<br><br>For those who want to make an unforgettable statement while honoring ethical values.<br><br>Price includes tax and official diamond certification.</p>",Diamonds by CS,Apparel & Accessories > Jewelry > Rings,Solitaire Ring,"1.50ct, 18K Gold, D-VS2, Engagement Ring, Lab-Grown Diamond, Round, shape:round, Solitaire",true,Metal Color,Yellow Gold,,,,,,,,SOLITAIRE-150-YG,0.0,,continue,manual,1250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-yellow-gold.png?v=1766512624,1,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct Yellow Gold,false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-yellow-gold.png?v=1766512624,kg,,,active
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct,,,,,,,,,White Gold,,,,,,,,SOLITAIRE-150-WG,0.0,,continue,manual,1250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-white-gold.png?v=1766512537,2,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct White gold ,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-white-gold.png?v=1766512537,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct,,,,,,,,,Rose Gold,,,,,,,,SOLITAIRE-150-RG,0.0,,continue,manual,1250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-rose-gold_88fa142f-97f7-4252-bdda-6d742c6fd8bc.png?v=1766512581,3,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct Rose Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-rose-gold_88fa142f-97f7-4252-bdda-6d742c6fd8bc.png?v=1766512581,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.00ct,"Make a statement with this breathtaking 1.00 carat solitaire engagement ring. Featuring a full carat lab-grown diamond (D color, VS2 clarity) set in luxurious 18K gold, this ring combines impressive size with exceptional quality.<br><br>The brilliant round-cut diamond captures and reflects light from every angle, creating mesmerizing sparkle that will take her breath away. Handcrafted with precision in Antwerp, this ring represents the pinnacle of ethical luxury and timeless design.<br><br>Features:<br>• Center Stone: 1.00 carat IGI/GIA/HRD-certified lab-grown diamond (D–VS2)<br>• Metal: 18K Gold (available in White, Yellow, or Rose Gold)<br>• Setting: Classic solitaire with secure 4-prong setting<br>• Band Style: Comfort-fit, 1.8-2.0mm width<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br>• Warranty: Lifetime craftsmanship guarantee<br><br>Why You'll Love It:<br>✓ Full 1.00 carat center stone with maximum presence<br>✓ Ethically sourced lab-grown diamond<br>✓ Exceptional D color grade - perfectly colorless<br>✓ VS2 clarity - eye-clean with brilliant fire<br>✓ Classic design that stands the test of time<br>✓ Handcrafted in Antwerp's prestigious diamond district<br>✓ Complimentary first-time resizing<br>✓ Includes elegant presentation box<br><br>The perfect choice for those seeking maximum impact with ethical values.<br><br>Price includes tax and official diamond certification.",Diamonds by CS,Apparel & Accessories > Jewelry > Rings,Solitaire Ring,"1.00ct, 18K Gold, D-VS2, Engagement Ring, Lab-Grown Diamond, Round, shape:round, Solitaire",true,Metal Color,Yellow Gold,,,,,,,,SOLITAIRE-100-YG,0.0,,continue,manual,990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct.png?v=1766512807,1,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.00ct,false,,,,whte-gold; yellow-gold; rose-gold,,,,solitaire,,female,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct.png?v=1766512807,kg,,,active
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct,,,,,,,,,White Gold,,,,,,,,SOLITAIRE-100-WG,0.0,,continue,manual,990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct-white-gold.png?v=1766512858,2,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.00ct - White gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct-white-gold.png?v=1766512858,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct,,,,,,,,,Rose Gold,,,,,,,,SOLITAIRE-100-RG,0.0,,continue,manual,990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct-rose-gold-round-diamond.png?v=1766512923,3,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.00ct Rose gold round diamond,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-00ct-rose-gold-round-diamond.png?v=1766512923,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 0.50ct,"Timeless elegance meets ethical luxury. This classic solitaire engagement ring features a stunning 0.50 carat lab-grown diamond (D color, VS2 clarity) set in premium 18K gold.<br><br>The brilliant round-cut diamond is secured in a traditional 4-prong setting that maximizes light reflection and showcases the stone's exceptional fire and brilliance. Handcrafted in Antwerp with meticulous attention to detail, this ring represents the perfect symbol of enduring love.<br><br>Features:<br>• Center Stone: 0.50 carat IGI/GIA/HRD-certified lab-grown diamond (D–VS2)<br>• Metal: 18K Gold (available in White, Yellow, or Rose Gold)<br>• Setting: Classic solitaire with secure 4-prong setting<br>• Band Style: Comfort-fit, 1.8-2.0mm width<br>• Certification: Includes official diamond certificate (HRD, IGI, or GIA)<br>• Warranty: Lifetime craftsmanship guarantee<br><br>Why You'll Love It:<br>✓ Ethically sourced lab-grown diamond with identical properties to mined diamonds<br>✓ Exceptional D color grade - the highest colorless rating<br>✓ VS2 clarity - eye-clean with excellent brilliance<br>✓ Timeless solitaire design that never goes out of style<br>✓ Handcrafted in Antwerp's diamond district<br>✓ Complimentary first-time resizing<br>✓ Includes elegant presentation box<br><br>Perfect for proposals, anniversaries, or as a symbol of eternal commitment.<br><br>Price includes tax and official diamond certification.",Diamonds by CS,Apparel & Accessories > Jewelry > Rings,Solitaire Ring,"0.50ct, 18K Gold, D-VS2, Engagement Ring, Lab-Grown Diamond, Round, shape:round, Solitaire",true,Metal Color,Yellow Gold,,,,,,,,SOLITAIRE-050-YG,0.0,,continue,manual,790.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct.png?v=1766513114,1,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 0.50ct,false,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-yellow-gold.png?v=1766512624,kg,,,active
18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct,,,,,,,,,White Gold,,,,,,,,SOLITAIRE-050-WG,0.0,,continue,manual,790.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct-round-rose-gold.png?v=1766513168,2,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 0.50ct Round Rose Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-white-gold.png?v=1766512537,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct,,,,,,,,,Rose Gold,,,,,,,,SOLITAIRE-050-RG,0.0,,continue,manual,790.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-yellow-gold.png?v=1766512624,3,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct Yellow Gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-rose-gold_88fa142f-97f7-4252-bdda-6d742c6fd8bc.png?v=1766512581,kg,,,
18k-gold-lab-grown-diamond-solitaire-engagement-ring-0-50ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/6122/8788/files/18k-gold-lab-grown-diamond-solitaire-engagement-ring-1-50ct-white-gold.png?v=1766512537,4,18K Gold Lab-Grown Diamond Solitaire Engagement Ring - 1.50ct White gold ,,,,,,,,,,,,,,,,
