Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description, Birthstone Available (product.metafields.custom.birthstone_available),Diamond Shape Available (product.metafields.custom.diamond_shape_available),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
halo-ring-18k-gold,Halo Engagement Ring – 18K Gold,"<p>Make a statement with this stunning halo engagement ring. A brilliant center diamond is surrounded by a halo of smaller diamonds, creating maximum sparkle and presence. Handcrafted in Antwerp with 18K gold.</p><ul>
<li>Handcrafted in Antwerp, Belgium</li>
<li>Available in 18K White Gold, Yellow Gold, or Rose Gold</li>
<li>Lab-grown diamonds: 0.50ct, 1.00ct, or 1.50ct center stone</li>
<li>Natural diamond option available (price on request)</li>
<li>Halo of micro-pavé diamonds</li>
<li>Diamond shapes available: Round, Princess, Cushion, Emerald, Oval, Pear, Marquise, Heart</li>
<li>Includes certificate of authenticity, tax, and engraving</li>
</ul>",Diamonds By CS,Apparel & Accessories > Jewelry > Rings,Engagement Ring,"18k-gold, diamond, engagement-ring, halo, lab-grown",true,Metal Color,Rose Gold,,Diamond Type,0.50ct,,,,,,0.0,,deny,manual,790.00,,false,true,,,,,"",,,,false,Halo Engagement Ring – 18K Gold | Diamonds By CS,"Stunning halo engagement ring in 18K gold. Choose from White, Yellow, or Rose Gold with lab-grown diamonds (0.50ct, 1.00ct, 1.50ct) or natural diamonds. Handcrafted in Antwerp.",FALSE,TRUE,,yellow-gold; whte-gold; rose-gold,,,,,,,,kg,,,active
halo-ring-18k-gold,,,,,,,,,Rose Gold,,,1.00ct,,,,,,0.0,,deny,manual,990.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Rose Gold,,,1.50ct,,,,,,0.0,,deny,manual,1250.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Rose Gold,,,Natural Diamond,,,,,,0.0,,deny,manual,3000.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Yellow Gold,,,0.50ct,,,,,,0.0,,deny,manual,790.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Yellow Gold,,,1.00ct,,,,,,0.0,,deny,manual,990.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Yellow Gold,,,1.50ct,,,,,,0.0,,deny,manual,1250.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,Yellow Gold,,,Natural Diamond,,,,,,0.0,,deny,manual,3000.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,White Gold,,,0.50ct,,,,,,0.0,,deny,manual,790.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
halo-ring-18k-gold,,,,,,,,,White Gold,,,1.00ct,,,,,,0.0,,deny,manual,990.00,,false,true,,,,,"",,,,,,,,,,,,,,,,,,kg,,,
